Year,Order,Level,Award,Name,Citation,County
2016,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Jeremy MOORE ,"Director-General, Strategy, Policy and Analysis Group, Department for Work and Pensions. For services to Welfare Reform.",London
2016,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Katrina Jane WILLIAMS ,"Director-General, International, Science and Resilience, Department of Energy and Climate Change.  For services to Public Administration.",Middlesex
2016,Knights Grand Cross of the Order of the British Empire,GBE,Knight Grand Cross of the Order of the British Empire,Sir Ian Clark WOOD CBE,"Leader, UKCS Maximising Recovery Review.  For services to the Oil and Gas Industry.",Aberdeenshire
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Susan Margaret BLACK OBE FRSE,"Director, The Centre for Anatomy and Human Identification, University of Dundee.  For services to Forensic Anthropology.",Dundee
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Louise CASEY CB,"Director General, Department for Communities and Local Government. For services to Families and Vulnerable People.",London
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Denise Assunta COIA ,Consultant Psychiatrist. For services to Mental Health and the NHS.,Dunbartonshire
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Veronica Anne (Polly) COURTICE LVO,"Director, Cambridge Institute for Sustainability Leadership.  For services to Sustainability Leadership.",Cambridgeshire
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Caroline DEAN OBE FRS,"Project Leader, Cell and Developmental Biology, John Innes Centre.  For services to Plant Science Research and Women in Science.",Norfolk
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Anna Felicja DOMINICZAK OBE FRSE,"Vice-Principal and Head of College of Medicine, Veterinary and Life Sciences, University of Glasgow.  For services to Cardiovascular and Medical Science.",Dunbartonshire
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Alice HUDSON ,"Executive Headteacher, Twyford Church of England Academies Trust. For services to Education.",London
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Rotha Geraldine Diane JOHNSTON CBE,For services to the Northern Ireland Economy and public service.,Belfast
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Frances LANNON ,"Lately Principal, Lady Margaret Hall, University of Oxford.  For services to Higher Education.",Oxfordshire
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Christine LENEHAN OBE,"Director, Council for Disabled Children. For services to Children and Young People.",Middlesex
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Julia PEYTON-JONES OBE,"Director and Co-Director of Exhibitions and Programmes, Serpentine Gallery. For services to the Arts.",London
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Benita REFSON OBE,"President, Place2Be. For services to Education.",London
2016,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Penelope Alice WILTON OBE,Actress. For services to Drama.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Cheryll Mary ADAMS ,"Founding Director, Institute of Health Visiting. For services to Health Visiting.",Hampshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Martin AINSCOUGH DL,"For philanthropic services to charity, Education and Young People in Wigan, Greater Manchester.",Lancashire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Christopher ARMITAGE ,For philanthropic services through the John Armitage Charitable Trust.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David ARMOND QPM,"T/Deputy Director General, National Crime Agency. For services to Law Enforcement particularly to International Policing.",Essex
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Lee BANKS ,"Chief Executive Officer, UK Asset Resolution.  For services to Taxpayers.",Cheshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Kenneth James BELL ,"President, National Conservative Convention. For political service.",East Sussex
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Dinah Lynne BIRCH ,"Pro Vice Chancellor for Research, University of Liverpool.  For services to Higher Education, Literary Scholarship and Cultural Life.",Merseyside
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Simon Paul BLAGDEN MBE,"Chairman, Fujitsu UK.  For services to the Economy and Skills.",North Yorkshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Graham BRAMMER ,"Director, Debt Management, HM Revenue and Customs. For service to Taxpayers and Tax Collection.",West Sussex
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James BRISBANE ,"Lately Chief Operating Officer, Operations Directorate, Crown Prosecution Service.  For services to Law and Order.",Carmarthenshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Kay BROCK LVO,For public service particularly to the Church of England.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Lovell BURBIDGE OBE DL,For services to Cultural Philanthropy in the West Midlands.,Warwickshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Stella Anne BURGESS ,"Champion, Islamic Finance Market. For services to the Economy.",Kent
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Roger Victor John CADBURY ,For services to the Bournville Village Trust in Birmingham and to charity in Warwickshire.,Gloucestershire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Derek Harold CALAM OBE,For services to Public Health and the Regulation of Medicines.,Wiltshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Ewan CAMERON ,"Director, Community Land Scotland.  For services to Community Land Ownership in Scotland.",Western Isles
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Thomas Norman CAVEN ,"Lately Registrar General and Chief Executive, Northern Ireland Statistics and Research Agency. For services to Civil Registration and Official Statistics.",Down
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Usha CHAKRAVARTHY ,"Professor of Ophthalmology, Belfast Health and Social Care Trust. For services to Ophthalmology in Northern Ireland and voluntary service to Managing Eye Conditions.",Belfast
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Keith Robertson COCHRANE ,"Chief Executive, The Weir Group plc. For services to Business in Scotland.",Perth and Kinross
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James Henry CONN ,Lately Crown Solicitor. For services to Justice.,Belfast
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alastair Nathan COOK MBE,"Captain, England Cricket Squad.  For services to Cricket.",Bedfordshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Raymond Barnett CRISFORD ,"National Chairman, The Royal British Legion. For voluntary service to Ex-Servicemen and Women.",Norfolk
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Carol Jean DAVIES ,"Deputy Director, Employment Group, Government Legal Department. For services to Employment Law and voluntary services through Spelthorne Rentstart.",Middlesex
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Roger DAVIES OBE,"Lately Commissioner for Sustainable Futures, Wales. For service to Sustainable Development in Wales.",Pembrokeshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Robson Sinclair DAVISON ,"Lately Chair, Governing Body, South Eastern Regional College. For services to Further Education.",Antrim
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Colin James DIAMOND ,"Executive Director of Education, Birmingham City Council. For services to Education.",Somerset
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David James DUNAWAY ,"Craniofacial Surgeon, Great Ormond Street Hospital and Trustee, Facing Africa.  For services to Facial Surgery in the UK and Africa.",Glasgow
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Althea Joy Barrett EFUNSHILE ,"Lately Acting Chief Executive, Arts Council. For services to Arts and Culture.",Surrey
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Harold Mark ENNIS ,"Non-Executive Chairman, SSE Ireland. For services to the Economy and the community in Northern Ireland.",Down
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Anthony Charles Wiener FINKELSTEIN ,"Professor of Software Systems Engineering, University College London and The Alan Turing Institute.  For services to Computer Science and Engineering.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Geoffrey Nigel GILBERT FRENG,"Professor of Sociology and Director, Centre for Research in Social Simulation, University of Surrey.  For services to Engineering and the Social Sciences.",Surrey
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Martin GORE ,"Consultant Cancer Physician and Medical Director, Royal Marsden Hospital.  For services to Oncology.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Jeremy Goltho GRANTHAM ,For philanthropic service to Climate Change Research.,Abroad
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Tessa HARTMANN ,For services to the Scottish Fashion and Textile Industries.,Glasgow
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Lady Susan HAUGHEY DL,For services to Business and Philanthropy.,Lanarkshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Rachel Laura HOPCROFT ,Lately Principal Private Secretary to the Cabinet Secretary.  For public service.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Elizabeth Anne HORNE ,"Chief Executive Officer, Horizons Specialist Academies Trust, Stockton. For services to Education.",Durham
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Alison Elizabeth HUTCHINSON ,"Chief Executive Officer, Pennies Foundation. For services to the Economy and Charities.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Allan HYDE ,"Executive Chairman, Hospitality Industry Training.  For services to the Further Education and Training Sectors.",West Sussex
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Charles Adrian JEFFERY ,"Professor of Politics, University of Edinburgh and lately Director, Future of the UK and Scotland Research Programme, ESRC. For services to the Social Sciences.",Edinburgh
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Paul Bede JOHNSON ,For services to Literature.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Peter JOHNSON ,"Professor of Medical Oncology, University of Southampton. For services to Medicine and Higher Education.",Hampshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Catherine Elizabeth JOHNSTONE ,"Lately Chief Executive, Samaritans. For services to Suicide Prevention.",Oxfordshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Andrew JONES ,"Director, Financial Planning and Scrutiny, Ministry of Defence. For services to Defence.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Edward KERSHAW ,"Director of Strategy and Partnerships, Immigration Enforcement, Home Office. For services to Border Security, Policing and Education.",Hertfordshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Brian Andrew LANG FRSE,"Chairman, Royal Scottish National Orchestra. For services to the Arts, Heritage and Education.",Edinburgh
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Hon Alderman Allah Yar Mushtaq LASHARIE ,For political service and charitable services in Pakistan through the Jhok Aid Project.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Colin James LAWSON ,"Director, Royal College of Music. For services to Music and Music Education.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Wilfred LAZAR FRENG,"Chairman, Metaswitch Networks.  For services to Engineering.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Adrian LEPPARD QPM,"Lately Commissioner, City of London Police. For service to Policing and the Prevention of Economic Crime.",Wiltshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Paul LEWIS ,Classical Pianist.  For services to Music.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John David LOVERING ,For services to the Charitable Sector and philanthropic services through the Lovering Charitable Trust.,East Sussex
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor John Nicholas LUDDEN ,"Executive Director, British Geological Survey.  For services to Geoscience.",Nottinghamshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Howard Austin LYONS ,"Lately Managing Director, Healthcare UK.  For services to Healthcare Management.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Laura Jean MCALLISTER ,"Chair, Sport Wales.  For services to Sport in Wales.",Cardiff
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Tom MCCORMACK ,"Child Maintenance Group Director, Department for Work and Pensions. For services to Child Maintenance Reform.",Northumberland
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Tracey Elizabeth MCDERMOTT ,"Acting Chief Executive, Financial Conduct Authority. For services to Financial Services Consumers and Markets.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Peter MCGUFFIN ,"Clinical Psychiatrist, King's College London. For services to Biomedical Research and Psychiatric Genetics.",Cardiff
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John MCLEOD ,Composer and Conductor.  For services to Music.,Edinburgh
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Bharat Maganlal MEHTA OBE,"Chief Executive Officer, Trust for London. For services to Finance in the Charitable and Voluntary Sectors.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard John MICKLETHWAIT ,"Lately Editor-in-Chief, the Economist. For services to Journalism and Economics.",Abroad
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Ann Patricia MOORE ,"Lately Head, Centre for Health Research and Professor of Physiotherapy, University of Brighton. For services to Physiotherapy.",East Sussex
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Peter MORGAN OBE,For philanthropic services through the Morgan Foundation.,Cheshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jack Anthony MORRIS OBE,For services to Business and Charity in London.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Bryan MORTON ,"Executive Chairman, EUSA Pharma and Board Member, Syncona. For services to the Healthcare Industry.",Oxfordshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Timothy MOSS ,"Chief Executive Officer and Registrar of Companies for England and Wales, Companies House.  For services to the Economy and to the community in Swansea.",South Glamorgan
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Paul Gerard O'PREY ,"Vice-Chancellor, University of Roehampton.  For services to Higher Education and the Literary History of the First World War.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Jeffrey PARKINSON ,"Director - Motoring, Freight and London and Chair, The Ability Network, Department for Transport. For services to Transport and to Diversity in the Workplace.",Berkshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Charles PEARSON ,"Corporate Director, Adult Social Care, Health and Public Protection, Nottinghamshire County Council. For services to Adult Social Care.",Nottinghamshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Lisa Kathleen PHILLIPS ,"Lately Deputy Director, DFID Kenya, Department for International Development. For services to International Aid.",Kent
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Sabera Nazneen RAHMAN ,"Head of Genetics and Epidemiology, Institute of Cancer Research and Head of Cancer Genetics, The Royal Marsden.  For services to Medical Science.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Trevor REANEY ,"Clerk and Chief Executive, Northern Ireland Assembly. For services to Democracy and the community in Northern Ireland.",Down
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard John REED ,"Co-founder, Innocent Drinks.  For services to the Food Industry and to charity.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jane RINTOUL ,"Deputy Director, Department of Health. For services to Health and Care.",Berkshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Jane SANDALL ,"Professor of Women's Health, King's College London. For services to Midwifery and Women's Health.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Timothy Charles SAWYER ,"Chief Executive Officer, Start Up Loans. For services to Small Businesses and Entrepreneurs.",Hertfordshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Eleanor Barbara SCHOOLING ,"Lately Director of Children's Services, London Borough of Islington. For service to Children and Families.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Sarah Jane SCULLION ,"HR Director, DWP Operations, Department for Work and Pensions. For services to HR in DWP and voluntary services to Employment Tribunals.",Gloucestershire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Margaret Joan SERNA ,"Chair, Board of Corporation, Lincoln College and Managing Director, Thames Group (UK) Ltd.  For services to Further Education.",Lincolnshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Cleveland Anthony SEWELL ,"Founder, Generating Genius and Member, London Schools Excellence Fund Expert Advisory Group. For services to Education.",Surrey
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan SHEARER OBE DL,For charitable services to the community in North East England.,Tyne and Wear
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Penelope Jane SNELL ,"Vice President, National Gardens Scheme. For services to the Voluntary Sector Supporting Nursing and Healthcare.",Surrey
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Margaret Jean SNOWLING FBA,"Professor of Psychology and President, St John's College, Oxford.  For services to Science and the Understanding of Dyslexia.",Oxfordshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John William STEPHENS ,"Deputy Director, Teaching Schools and School Improvement, National College for Teaching and Leadership. For services to Education and voluntary service in Manchester.",Greater Manchester
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Rt Rev Timothy John STEVENS ,For services to the Church of England and the community in Leicestershire.,Suffolk
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Quentin STRAUS ,"Managing Director, Rogers, Coleridge and White.  For services to Literature.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Janet STREET-PORTER ,Journalist and Broadcaster. For services to Journalism and Broadcasting.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Melissa Jane TATTON ,"Director of Individual and Small Business, HM Revenue and Customs. For services to Tax and voluntary service to Education.",Surrey
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Michael Philip THORNE ,"Lately Vice-Chancellor, Anglia Ruskin University. For services to Higher Education.",Hertfordshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Steven Cameron TORRIE QFSM,"Lately HM Chief Inspector, the Scottish Fire and Rescue Service.  For services to Fire and Rescue in Scotland.",Stirling and Falkirk
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Malcolm James TROBE ,"Interim General Secretary, The Association of School and College Leaders. For services to Education.",Leicestershire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Lt Col Andrew Simon TUGGEY DL,For services to the Commonwealth Parliamentary Association and the community in South East Wales.,Monmouthshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Mary Josephine TURNER MBE,For political service particularly through the Trades Union Movement.,London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Eben Christopher UPTON ,"Chief Executive Officer, Raspberry Pi (Trading) Ltd.  For services to Business and Education.",Cambridgeshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor Robert Gerald Van Cortlandt VERNON-JACKSON ,"Councillor, Portsmouth City Council. For services to Local Government.",Hampshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Patricia Susan WALTERS ,"Lately Headteacher, Holte Visual and Performing Arts College. For services to Education.",Warwickshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Bridget WARR ,"Chief Executive, United Kingdom Home Care Association. For services to Social Care and the Voluntary Sector.",Somerset
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Julie WELHAM ,"Senior Management, Ministry of Defence. For services to Defence.",London
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor Anne WESTERN ,"Leader, Derbyshire County Council. For services to Local Government.",Derbyshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David John WHITING OBE,"Tax Director, Office of Tax Simplification. For services to Tax Simplification.",Hertfordshire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael Anthony WILSON ,"Chief Executive, Surrey and Sussex Healthcare NHS Trust.  For services to the NHS.",West Sussex
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Janet Elizabeth WOODS ,"Director of Secondary Academies (North), United Learning Trust. For services to Education.",Lancashire
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Philippa WOODS ,"Chair, Family Farmers Association. For services to Family Farming and the Rural Community.",Devon
2016,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ian WRIGHT ,"Programme Director, Universal Credit Programme, Department for Work and Pensions. For services to DWP and to the community.",Tyne and Wear
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Karen Gillian ABDEL-HADY ,"Lately Head of Detention Operations, Immigration Enforcement, Home Office. For services to Immigration Detainees.",East Grinstead
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor June ANDREWS ,"Lately Director, The Dementia Services Development Centre, University of Stirling.  For services to People with Dementia.",West Lothian
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Dylan Idris APLIN ,"Security Adviser, Avon and Somerset Police.  For services to National Security.",Bristol
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Julian Charles APPLEYARD ,"Principal, Rochdale Sixth Form College, Lancashire. For services to Education.",West Yorkshire
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Richard ARDEN ,"Senior Education Adviser, Department for International Development. For services to Education and International Development particularly in South Sudan.",Wiltshire
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Catharine ASTON ,"Senior Policy Adviser, Crime and Policing Knowledge Hub, Crime and Policing Group, Home Office. For services to the Voluntary and Community Sectors.",London
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Councillor Philip Edward Bailey ATKINS ,"Leader, Staffordshire County Council. For services to Local Government.",Staffordshire
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Miss Alison Louise BALSOM ,Trumpet Soloist. For services to Music.,London
